idx: 161, duration: 1360.5388879999518, totel: 127396.02933600033
idx: 162, duration: 1368.0212370003574, totel: 128764.05057300068
idx: 163, duration: 1374.8974379999563, totel: 130138.94801100064
idx: 164, duration: 1375.7953989999369, totel: 131514.74341000058
idx: 165, duration: 1373.1253250003792, totel: 132887.86873500096
idx: 166, duration: 1652.4402230000123, totel: 134540.30895800097
idx: 167, duration: 1658.407447999809, totel: 136198.71640600078
idx: 168, duration: 1640.9417230002582, totel: 137839.65812900104
idx: 169, duration: 1660.863578000106, totel: 139500.52170700114
idx: 170, duration: 1630.7538100001402, totel: 141131.27551700128
idx: 171, duration: 1653.627334000077, totel: 142784.90285100136
idx: 172, duration: 1652.5076820002869, totel: 144437.41053300165
idx: 173, duration: 1645.1927410000935, totel: 146082.60327400174
idx: 174, duration: 1638.2580629996955, totel: 147720.86133700144
idx: 175, duration: 1597.2853529998101, totel: 149318.14669000125
idx: 176, duration: 1647.0266649997793, totel: 150965.17335500102
idx: 177, duration: 1646.3079920001328, totel: 152611.48134700116
idx: 178, duration: 1665.0928589999676, totel: 154276.57420600113
idx: 179, duration: 1672.8142780000344, totel: 155949.38848400116
idx: 180, duration: 1666.626184000168, totel: 157616.01466800133
idx: 181, duration: 1627.5797190000303, totel: 159243.59438700136
idx: 182, duration: 1667.0357980001718, totel: 160910.63018500153
idx: 183, duration: 1630.8324429998174, totel: 162541.46262800135
idx: 184, duration: 1670.038647999987, totel: 164211.50127600133
idx: 185, duration: 1667.4967330000363, totel: 165878.99800900137
idx: 186, duration: 1641.4201600002125, totel: 167520.41816900158
idx: 187, duration: 1665.6926859999076, totel: 169186.1108550015
idx: 188, duration: 1615.2036360003985, totel: 170801.3144910019
idx: 189, duration: 1677.5937450001948, totel: 172478.90823600208
idx: 190, duration: 1680.5671620001085, totel: 174159.4753980022
idx: 191, duration: 1640.8029249999672, totel: 175800.27832300216
idx: 192, duration: 1678.1388690001331, totel: 177478.4171920023
idx: 193, duration: 1651.3095160000958, totel: 179129.7267080024
idx: 194, duration: 1676.0215429998934, totel: 180805.74825100228
idx: 195, duration: 1651.1299519999884, totel: 182456.87820300227
idx: 196, duration: 1656.9805470001884, totel: 184113.85875000246
idx: 197, duration: 1680.1901370002888, totel: 185794.04888700275
idx: 198, duration: 1651.8477230002172, totel: 187445.89661000296
idx: 199, duration: 1874.482474999968, totel: 189320.37908500293
